Question,User1,User2,User3,User4,User5,User6,User7,User8,User9,User10,User11,User12
Q1,5,3,5,7,7,4,5,6,6,7,6,4
Q2,6,7,6,5,7,7,7,6,7,7,7,6
Q3,6,5,4,5,7,7,4,6,5,7,5,7
Q4,5,4,4,4,7,7,5,7,7,5,6,7
Q5,5,4,6,7,6,7,7,7,7,7,6,7
Q6,6,5,6,4,6,7,2,4,0,7,6,6
Q7,4,2,6,7,6,6,6,6,7,5,4,5
Q8,6,6,5,7,7,7,7,7,7,7,7,7
Q9,7,6,5,6,7,7,7,7,6,7,7,7
Q10,7,6,5,6,7,7,7,4,5,7,4,7
